id,name,height,date_of_birth
nm0180984,Kevin Corrigan,200,1969-03-27
nm0180991,Martha Corrigan,,
nm0181080,Aneta Corsaut,200,1933-11-03
nm0181359,Jaime Cortez,,
nm0181825,Douglas Cosgrove,,1895-12-06
nm0181836,John Cosgrove,,
nm0181920,James Cosmo,200,1947-10-27
nm0182113,Cosie Costa,,1947-06-22
nm0182153,Francesco Costa,,
nm0182244,Mario Costa,,1910-06-01
nm0182588,Matt Costello,,
nm0182666,Nikolaj Coster-Waldau,200,1970-07-27
nm0182831,Richard Cotica,,
nm0182839,Marion Cotillard,200,1975-09-30
nm0182855,Stephen L. Cotler,,
nm0183013,Paolo Cottignola,,1960-11-16
nm0183323,Frank Coughlan,,
nm0183325,Ian Coughlan,,1946-09-02
nm0183406,Fatoumata Coulibaly,,
nm0183429,Rhonda Coullet,,1945-09-23
nm0183548,Steve Coulter,200,1960
nm0183632,Nathalie Coupal,,1960-08-11
nm0183660,Clotilde Courau,,1969-04-03
nm0183822,Tom Courtenay,200,1937-02-25
nm0183877,Cicely Courtneidge,,1893-04-01
nm0184086,Christopher Cousins,200,1960-09-27
nm0184102,Joseph Cousins,,1983-03-17
nm0184108,Mark Cousins,,1965-05-03
nm0184114,Philippa Cousins,,
nm0184237,J. Michael Couto,,
nm0184392,Martin Kove,200,1946-03-06
nm0184588,Juliet Cowan,,1974-05-21
nm0184840,Bruce Cowling,,1919-10-30
nm0184963,Chris Cox,,
nm0185039,Gerard Cox,,1940-03-06
nm0185045,Gregory Cox,,
nm0185452,Susan Coyne,,
nm0185819,Daniel Craig,200,1968-03-02
nm0186030,Thomas Craig,200,1962-12-04
nm0186048,Wendy Craig,200,1934-06-20
nm0186225,Barbara Crampton,200,1958-12-27
nm0186247,Susannah Cranage,,
nm0186505,Bryan Cranston,200,1956-03-07
nm0186717,Caprice Crawford,,1971-06-02
nm0186728,Clayne Crawford,200,1978-04-20
nm0187229,David Creedon,,
nm0187385,Marie-Joséphine Crenn,,
nm0187754,Bernard Cribbins,200,1928-12-29
nm0187848,Marcelo Chimento,,
nm0188051,Perla Cristal,,1937-09-29
nm0188173,Domiziano Cristopharo,,
nm0188200,Karen Criswell,,
nm0188262,Carlo Crivelli,,1953-04-15
nm0188349,Carter Crocker,,
nm0188357,Harry Crocker,200,1893-07-02
nm0188536,Max Croiset,,1912-08-13
nm0188673,Richard Cromwell,200,1910-01-08
nm0188871,Mackenzie Crook,200,1971-09-29
nm0188984,Eve Crosby,,
nm0189200,Joseph Cross,200,1986-05-28
nm0189468,Brian Croucher,200,1942-01-23
nm0189504,Lance Crouther,,1962-05-01
nm0189875,John Croydon,,1907-11-03
nm0190003,Greg Cruikshank,,
nm0190189,Shireen Crutchfield,200,
nm0190303,Ely Cruz,,
nm0190384,Lito Cruz,,1941-05-14
nm0190516,James Cruze,,1884-03-27
nm0190611,Madeleine Crétolle,,
nm0190736,Szabolcs Csizmadia,,
nm0190744,Marton Csokas,200,1966-06-30
nm0190775,Imre Csuja,,1960-07-11
nm0190827,María Cuadra,,1936-12-24
nm0190988,Nicolas Cuche,,
nm0191109,José Luis Cuerda,,1947-02-18
nm0191275,Chaoming Cui,,
nm0191412,Rory Culkin,200,1989-07-21
nm0191717,Jill Culton,,
nm0191997,Eli Cummins,,
nm0192024,Martin Cummins,200,1969-11-28
nm0192271,Colin Cunningham,200,1966-08-20
nm0192279,Danny Cunningham,,1969-05-29
nm0192490,Alain Cuny,200,1908-07-12
nm0192698,Federico Curiel,,1917-02-19
nm0192852,Lynette Curran,,1945
nm0192997,Sondra Currie,200,1947-01-11
nm0193191,Emmanuel Curtil,,1971-02-07
nm0193295,Cliff Curtis,200,1968-07-27
nm0193459,Mickey Curtis,,1938-07-23
nm0193478,Norah Lofts,,1904-08-27
nm0193484,Ricardo Curtis,200,
nm0193661,Sinéad Cusack,200,1948-02-18
nm0193721,Marc Cushman,,1954-11-22
nm0193738,Henry Ian Cusick,200,1967-04-17
nm0194159,Zeljka Cvjetan,,1963-06-05
nm0194357,Nancy Czar,,1944-01-04
nm0194414,Eva Czemerys,,
nm0194807,Ayberk Çölok,,1936-06-27
nm0195039,Enzo D Alò,,1953
nm0195421,Brian d Arcy James,200,1968-06-29
nm0195438,Jake D Arcy,,
nm0195525,Rocco D Assunta,,1904-02-07
nm0195627,Federico D Elía,200,1966-10-04
nm0195844,Joseph D Onofrio,200,
nm0195895,Umberto D Orsi,200,1929-07-30
nm0195934,Lawrence D Souza,,
nm0196024,Pascoal da Conceição,,1953-10-09
nm0196247,Howard Da Silva,200,1909-05-04
nm0196375,Parvin Dabas,200,1974-07-12
nm0196928,Henrik Dahl,,1964-11-18
nm0197164,Alexandra Dahlström,200,1984-02-12
nm0197232,Eva Dahr,,1958-10-30
nm0197240,Leon Dai,,1966-07-27
nm0197252,Yasuo Daichi,200,1951-11-25
nm0197468,Dakar,,1920
nm0197547,Sandra Dal Sasso,,
nm0197636,Stephen Daldry,200,1960-05-02
nm0197647,James Badge Dale,200,1978-05-01
nm0197714,Jennifer Dale,,1956-01-16
nm0197773,Richard Dale,,
nm0197931,Dalida,200,1933-01-17
nm0197963,Ewa Dalkowska,,1947-04-10
nm0198059,Peter Dalle,,1956-12-05
nm0198192,Joël Dalpé-Drapeau,,
nm0198257,Darren Dalton,200,1965-02-09
nm0198366,Tony Dalton,200,1975-02-13
nm0198472,Lance Daly,,
nm0198556,Eskil Dalenius,,1945-12-28
nm0198746,Anca Damian,,1962-04-01
nm0198800,Alexis Damianos,,1921-01-21
nm0198823,Madeleine Damien,,1901-06-29
nm0198991,Mel Damski,,1946-07-21
nm0199028,Oniroku Dan,,1931-09-01
nm0199226,Hlomla Dandala,,
nm0199381,Georgiy Daneliya,,1930-08-25
nm0199470,Dang Nhat Minh,,1938
nm0200057,Phil Daniels,200,1958-10-25
nm0200234,Natalya Danilova,200,1955-09-25
nm0200294,Eli Danker,,1948-10-12
nm0200355,Roger Dann,,1911-05-16
nm0200380,Brian Dannelly,,
nm0200439,Danny,200,1942-09-24
nm0200452,Paul Dano,200,1984-06-19
nm0200500,Pepe Danquart,,1955-03-01
nm0200615,Dingdong Dantes,200,1980-08-02
nm0200626,Helmut Dantine,200,1918-10-07
nm0200628,Niki Dantine,,1933-12-13
nm0200702,Dany Boon,200,1966-06-26
nm0200892,Marie-Christine Darah,,
nm0200981,Kim Darby,,1947-07-08
nm0201057,Sheila Darcy,,1914-08-08
nm0201462,Gérard Darmon,200,1948-02-29
nm0201668,Al Darrouch,,
nm0201669,Jean-Pierre Darroussin,,1953-12-04
nm0201700,Tony Darrow,200,1938-10-01
nm0201801,Ahmad Reza Darvish,,
nm0201857,Ricardo Darín,200,1957-01-16
nm0201969,Julie Dash,,1952-10-22
nm0202409,Jean-Claude Dauphin,,1948-03-16
nm0202603,Jack Davenport,200,1973-03-01
nm0202766,Maureen Hingert,,1937-01-09
nm0202835,BJ Davis,,1952-08-14
nm0202870,Eleanor David,,1955-11-30
nm0202966,Keith David,200,1956-06-04
nm0203087,Wil David,,
nm0203186,Christo Davids,,1983-08-20
nm0203308,Eileen Davidson,200,1959-06-15
nm0203549,Kerry Davie,,
nm0203563,Alan Davies,200,1966-03-06
nm0203688,Eileen Davies,,
nm0203801,Karl Davies,200,1982-08-06
nm0204059,John Bryant,200,1980-06-24
nm0204095,Alexander Davion,,1929-03-31
nm0204389,Clifton Davis,200,1945-10-04
nm0204509,Davee Decker,,1935-10-28
nm0204706,Hope Davis,200,1964-03-23
nm0204824,Jim Davis,200,1909-08-26
nm0205127,Matthew Davis,200,1978-05-08
nm0205479,Sonny Carl Davis,,
nm0205897,Paul Dawber,200,
nm0206010,Isabel Dawn,,1897-10-20
nm0206026,Marpessa Dawn,,1934-01-03
nm0206238,Ralph Dawson,,1897-04-18
nm0206376,Dennis Day,200,1916-05-21
nm0206434,Jeffrey Day,,1961-11-08
nm0206496,Marceline Day,200,1908-04-24
nm0206510,Matt Day,200,1971-09-28
nm0206537,Patrick Day,200,1968-08-22
nm0206753,Gregory Dayton,,
nm0206811,Cecilia Dazzi,,1969-10-17
nm0206815,Marie Daëms,,1928-01-27
nm0206856,Mauricio De Aguinaco,,1966-05-01
nm0207269,Lilita De Barros,,1942-04-18
nm0207302,Andrée de Beaumont,,
nm0207636,Delight De Bruine,,
nm0207913,Paul de Castro,,
nm0207933,Ève de Castro,,
nm0208040,Virginie de Clausade,,1981-04-22
nm0208111,Frederick De Cordova,,1910-10-27
nm0208171,Luciano De Crescenzo,,1928-08-20
nm0208426,Cécile de France,200,1975-07-17
nm0208880,Tom De Hoog,,
nm0209009,Michiel de Jong,,1973-05-17
nm0209189,Raven De La Croix,200,1947-08-24
nm0209246,Cristián de la Fuente,200,1974-03-10
nm0209268,Gabriela de la Garza,200,1976-10-03
nm0209397,Secun de la Rosa,200,1969-12-23
nm0209441,Osvaldo De la Vega,,
nm0209649,Christopher De Leon,,1956-10-31
nm0209738,Giuseppe de Liguoro,,
nm0209768,Toninho Carlos de Lima,,
nm0209850,Kamar de los Reyes,200,1967-11-08
nm0209948,Fabio De Luigi,200,1967-10-11
nm0210258,Lourenço de Mello,,1966-02-13
nm0210267,Emílio de Mello,,
nm0210449,Luiz Carlos de Moraes,,
nm0210477,Reggie De Morton,,
nm0210655,Daniel de Oliveira,,1977-06-19
nm0210690,Juca de Oliveira,,1935-03-16
nm0210701,Manoel de Oliveira,200,1908-12-11
nm0210896,Lígia de Paula,,1947-04-20
nm0210918,Josse De Pauw,,1952-03-15
nm0211048,Lya De Putti,,1897-01-10
nm0211191,Charles de Rochefort,,1879-07-07
nm0211228,Mirjam de Rooij,,1963-09-27
nm0211243,Franco De Rosa,,1944-07-16
nm0211564,Brando De Sica,,1983-03-10
nm0211565,Christian De Sica,200,1951-01-05
nm0211599,Pietro De Silva,,1964-12-28
nm0211653,Werner De Smedt,,1970-07-17
nm0211822,Sebastiao de Souza,,
nm0211827,Vicente de Souza,,
nm0211956,Guillaume de Tonquédec,,1966-10-18
nm0212170,Gys de Villiers,,
nm0212860,Louis Dean,,1874-05-03
nm0212983,William Dean,,
nm0213034,Lezlie Deane,,1964-06-01
nm0213210,Justin Deas,,1948-03-30
nm0213354,Jamel Debbouze,200,1975-06-18
nm0213374,Kristine DeBell,200,1954-12-10
nm0213392,Burr DeBenning,,1936-09-21
nm0213462,Alex DeBoe,,
nm0213476,Ève Deboise,,
nm0213766,Antonio Dechent,,1960-02-16
nm0213847,Jennifer Decker,200,1982-12-28
nm0213983,David DeCoteau,,1962-01-05
nm0214109,Nicole Dedieu,,
nm0214243,André Deed,,1879-02-22
nm0214326,Bleu Deen,,
nm0214349,Deepak,,
nm0214586,Tom DeFranco,,
nm0214746,Zeynep Degirmencioglu,,1954-09-12
nm0214964,Jamil Dehlavi,,
nm0215085,Edward Dein,,1907-05-24
nm0215281,Thomas Dekker,200,1987-12-28
nm0215541,Tomás del Estal,,
nm0215648,Mario Del Monaco,200,1915-07-27
nm0215805,Geraldo Del Rey,,1930-10-29
nm0215907,Teresa del Río,,1937-02-20
nm0216209,Lise Delamare,,1913-04-09
nm0216484,Mark Delaroy,,
nm0216739,Jack DeLeon,,1924-12-19
nm0217046,Oscar Delgado,,
nm0217079,Teo Delgado,,
nm0217660,Geneviève Robert,,
nm0217695,Jerry Delony,,1934-03-06
nm0217817,Albert Delpy,,1940-09-13
nm0217936,David DeLuise,200,1971-11-11
nm0217938,Peter DeLuise,200,1966-11-06
nm0217975,Claudine Delvaux,,
nm0218022,Benoît Delépine,,1958-08-30
nm0218131,William Demarest,200,1892-02-27
nm0218523,Sedat Demir,,1931-03-25
nm0218615,Pascal Demolon,,1964-09-02
nm0218884,Marie Denarnaud,,1978
nm0218942,Denden,,1950-01-23
nm0219068,Reginald Denham,,1894-01-10
nm0219301,Tony Denman,200,1979-10-22
nm0219342,Charles Denner,,1926-05-29
nm0219369,Michael Denney,,
nm0219664,Paul Denny,,
nm0219666,Reginald Denny,200,1891-11-20
nm0219821,Christa Denton,,1972
nm0219971,Sunny Deol,200,1957-10-19
nm0220017,Julie Depardieu,,1973-06-18
nm0220131,Hans Deppe,,1897-11-12
nm0220183,Émilie Dequenne,200,1981-08-29
nm0220450,Maeve Dermody,200,1985-11-02
nm0220566,Richard Derr,200,1918-06-15
nm0220605,Marcelle Derrien,,1916-07-24
nm0220699,Merlin Dervisevic,200,1968-06-04
nm0220724,Mikhail Derzhavin,,1936-06-15
nm0220729,János Derzsi,,1954-04-20
nm0220798,Vincent Desagnat,200,1976-03-09
nm0220976,Alex Descas,,1958
nm0221072,Josée Deschênes,,1961-08-09
nm0221094,Colette Descombes,,
nm0221154,Yves Desgagnés,,1957-04-26
nm0221214,Anjalee Deshpande,,
nm0221334,Julie Deslauriers,200,1976-03-05
nm0221491,Jerry Desmonde,200,1908-07-20
nm0221662,Alain Desrochers,,
nm0221745,Natalie Dessay,,1965-04-19
nm0221797,Luli Deste,,1902-11-07
nm0221902,Amanda Detmer,200,1971-09-27
nm0222150,Prabhu Deva,200,
nm0222426,Ajay Devgn,200,1969-04-02
nm0222447,Chunibala Devi,,
nm0222643,Loretta Devine,200,1949-08-21
nm0222789,J.G. Devlin,200,1907-10-08
nm0222881,Tony Devon,200,1951-12-05
nm0222922,Emmanuelle Devos,200,1964-05-10
nm0222928,Louis Devos,,
nm0222986,Elaine Devry,200,1930-01-10
nm0223002,Joke Devynck,,1972-10-10
nm0223296,Elliott Dexter,200,1879-12-21
nm0223372,Lien Deyers,,1909-11-05
nm0223506,Dharmavarapu Subramanyam,,1960-09-20
nm0223518,Caroline Dhavernas,200,1978-05-15
nm0223560,Deep Dhillon,,
nm0223606,Tigmanshu Dhulia,,
nm0223652,Ida Di Benedetto,,1945-06-03
nm0223666,Louis Di Bianco,,
nm0223672,Emílio Di Biasi,,1939-05-29
nm0223895,Claudia Di Girólamo,200,1956-12-30
nm0224331,Andrea Di Stefano,,1972-12-15
nm0224345,Tito Di Stefano,,
nm0224386,Cesare Di Vito,,
nm0224406,Matoura Dia,,
nm0224502,Rika Dialyna,,1934-08-08
nm0224511,Lamine Diallo,,
nm0224526,Smaragda Diamandidou,,
nm0224543,Henri Diamant-Berger,,1895-06-09
nm0224739,Lucian S. Diamonde,,
nm0224780,David Diane,,
nm0224880,Lineu Dias,,1927-10-05
nm0225257,Eddie Dick,,
nm0225279,Nigel Dick,200,1953-03-21
nm0225416,Ernest R. Dickerson,,1951-06-25
nm0225460,Dale Dickey,200,1961-09-29
nm0225463,James Dickey,200,1923-02-02
nm0225466,Lucinda Dickey,,1960-08-14
nm0225483,Kate Dickie,200,1971
nm0225830,Marcos Didonet,,
nm0225864,Steven R. Diebold,,
nm0225905,Wilhelm Diegelmann,,
nm0225935,Carlos Diegues,,1940-05-19
nm0225944,August Diehl,200,1976-01-04
nm0225974,Una Diehl,,
nm0226143,Linda Diesem,,
nm0226323,Damion Dietz,,
nm0226770,Dileep,200,1968-10-27
nm0226773,Irasema Dilián,,1924-05-27
nm0226813,Garret Dillahunt,200,1964-11-24
nm0227003,Hugh Dillon,200,1963-05-31
nm0227021,John T. Dillon,,1876-06-19
nm0227239,Maria Dimcheva,,
nm0227358,Toma Dimitriu,,1908-04-27
nm0227461,Nikos Dimopoulos,,
nm0227617,Ding Xian Yan,,1936
nm0227647,John Dullaghan,,1930-11-27
nm0227739,Nélson Diniz,,1963
nm0227762,Mehmet Dinler,,1928-01-24
nm0228013,Djibril Diop Mambéty,,1945-01-01
nm0228092,Angela Dippe,,1961-12-10
nm0228226,Douglas Dirkson,,1943-05-17
nm0228262,Mark DiSalle,200,
nm0228338,Emilio Disi,,1943-01-02
nm0228427,Werner Dissel,200,1912-08-26
nm0228479,Robert Ditchburn,,
nm0228621,Zülfikar Divani,,
nm0228678,Andrew Divoff,200,1955-07-02
nm0228685,Divyavani,,
nm0228856,Jade Jenise Dixon,,
nm0228878,Joe Dixon,,1965
nm0229210,Aleksandar Djordjevic,,1924-07-28
nm0229301,Branko Djuric,200,1962-05-28
nm0229351,Vladimír Dlouhý,,1958-01-10
nm0229379,Ivan Dmitriev,200,1915-07-30
nm0229415,Mariusz Dmochowski,,1930-10-29
nm0229943,Vernon Dobtcheff,,1934-08-14
nm0229957,Kata Dobó,200,1974-02-25
nm0229994,Peter Docker,,
nm0230243,Evgenia Dodina,,1964-12-10
nm0230315,Alex Doduk,,
nm0230649,Justus von Dohnányi,200,1960-12-02
nm0230655,Jason Dohring,200,1982-03-30
nm0230826,Monica Dolan,200,1969-03-15
nm0230859,Xavier Dolan,200,1989-03-20
nm0231001,Larry Dolgin,,
nm0231122,Aubrey Dollar,200,1980-09-23
nm0231346,Andrea Domburg,,1923-04-21
nm0231436,Dagmara Dominczyk,200,1976-07-17
nm0231555,Luis Miguel Dominguín,,1926-12-09
nm0231598,Dominique,,
nm0231677,Aleksandr Domogarov,200,1963-07-12
nm0231873,Cristina Donadio,,1954-11-07
nm0232196,Robert Donat,200,1905-03-18
nm0232345,Plamen Donchev,,1938-11-01
nm0232998,Jeffrey Donovan,200,1968-05-11
nm0233027,Martin Donovan,200,1957-08-19
nm0233079,Ryan Donowho,200,1980-09-20
nm0233098,Natalia Dontcheva,,
nm0233145,Alison Doody,200,1966-11-11
nm0233440,Lele Dorazio,,
nm0233481,Jon Dore,,1975-11-02
nm0233506,Johnny Dorelli,,1937-02-20
nm0233615,Daniela Doria,,
nm0233949,Marcin Dorocinski,200,1973-06-22
nm0234237,Anne Dorval,200,1960-11-08
nm0234506,Andrew Dosunmu,,
nm0234540,Michele Dotrice,200,1948-09-27
nm0234715,Paul Doucet,,
nm0234928,Aaron Douglas,200,1971-08-23
nm0235026,Donald Douglas,200,1905-08-24
nm0235238,Róbert I. Douglas,,1973-06-04
nm0235385,Edward Doumani,,
nm0235417,Tony Doupe,,
nm0235451,Michel van Dousselaere,,1948
nm0235461,Mélanie Doutey,200,1978-11-22
nm0235508,Teta Douzou,,1964-06-07
nm0236202,Nicholas Downs,,1976-03-19
nm0236226,Michael Dowse,200,1973-04-19
nm0236313,Christopher Doyle,,1952-05-02
nm0236329,David Doyle,,1929-12-01
nm0236774,Natalia Dragoumi,,
nm0236860,Betsy Drake,,1923-09-11
nm0236930,Jim Drake,,
nm0236973,Miller Drake,,
nm0237021,T.Y. Drake,,1936-06-28
nm0237109,Alex Draper,,
nm0237222,Rachel Dratch,200,1966-02-22
nm0237527,Andreas Dresen,,1963-08-16
nm0237571,Louise Dresser,200,1878-10-05
nm0237666,Griffin Drew,200,1968-08-18
nm0237711,Sarah Drew,200,1980-10-01
nm0237770,Nancy Drexel,,1910-04-06
nm0237802,Dianne Dreyer,,1956-08-08
nm0237832,Francis Dreyfus,,1940
nm0238445,Joanne Dru,200,1922-01-31
nm0238475,Léa Drucker,,1972-01-23
nm0238545,Bill Drummond,200,1953-04-29
nm0238682,Vladimir Druzhnikov,,1922-05-30
nm0238841,Don Mancini,,1963-01-25
nm0239001,Fabrice du Welz,,1972-10-21
nm0239128,Paloma Duarte,,1977-05-21
nm0239267,Lillete Dubey,,1953-09-07
nm0239315,Lucy Dubinchik,,1982-12-17
nm0239513,Paulette Dubost,,1910-10-08
nm0239519,Anne Walter,,
nm0239655,Jacques Dubus,,
nm0239656,Marie-Sophie Dubus,,
nm0239666,Hugo Dubé,200,1965-06-01
nm0239680,Hélène Duc,,1917-03-22
nm0239870,Kate Duchêne,200,1959-01-05
nm0240015,Pierre Dudan,,1916-02-01
nm0240043,Anne Dudek,200,1975-03-22
nm0240380,Haylie Duff,200,1985-02-19
nm0241105,André van Duin,,1947-02-20
nm0241121,Jean Dujardin,200,1972-06-19
nm0241222,Ken Duken,200,1979-04-17
nm0241232,David Dukes,,1945-06-06
nm0241295,Pierre Dulat,,1959-08-22
nm0241398,Piotr Dumala,,1956-07-09
nm0241611,Hayley DuMond,200,1974-07-12
nm0241622,Bruno Dumont,,1958-03-14
nm0241697,Véronique Dumont,,
nm0241759,Deanna Dunagan,,1940-05-25
nm0241815,Allison Dunbar,,
nm0242001,Johnny Duncan,200,1923-12-07
nm0242226,Christine Dunford,,
nm0242587,Harvey B. Dunn,,1894-08-19
nm0242654,Trieste Kelly Dunn,200,1981-01-14
nm0242737,Robert A. Dunn,,1896-11-21
nm0242803,John Dunn-Hill,,1936
nm0242830,Christopher Dunne,,
nm0242882,Max Martini,200,1969-12-11
nm0242903,Robin Dunne,200,1976-11-19
nm0243013,John Dunsford,,1926
nm0243053,Marlo Dwyer,,1915-06-30
nm0243221,Serge Dupire,,1958-05-23
nm0243231,Jay Duplass,200,1973-03-07
nm0243620,Philippe Duquesne,,1965-06-30
nm0243806,Kevin Durand,200,1974-01-14
nm0244151,Romain Duris,200,1974-05-28
nm0244168,Junior Durkin,,1915-07-02
nm0244225,Ercan Durmaz,200,1965-08-16
nm0244327,Dorra Zarrouk,,
nm0244423,Ülkü Duru,,1957-04-14
nm0244454,Peter Duryea,,1939-07-14
nm0244612,Jaroslav Dusek,,1961-04-30
nm0244631,Nate Dushku,,1977-06-08
nm0244696,Marta Dusseldorp,200,1973
nm0244707,André Dussollier,200,1946-02-17
nm0244850,Jacques Dutronc,200,1943-04-28
nm0244864,Anjan Dutt,,1953-01-19
nm0244890,Divya Dutta,,1977-09-25
nm0244900,Rajatabha Dutta,,1967-08-11
nm0245164,Nicolas Duvauchelle,200,1980-03-27
nm0245231,Eckart Dux,200,1926-12-19
nm0245354,Jakub Dvorsky,,
nm0245696,Catherine Dyer,200,
nm0246005,Tommy Dysart,,
nm0246139,Leyla Badirbayli,,1920-01-08
nm0246152,Nikita Dzhigurda,,1961-03-27
nm0246386,Mélissa Désormeaux-Poulin,200,
nm0246390,Victor Désy,,1932-06-08
nm0246570,Enrique Diaz,,1968
nm0246638,Julieta Díaz,200,1977-09-09
nm0246762,Marilou Diaz-Abaya,,1955-03-30
nm0246822,Diogo Dória,,1953-04-16
nm0246843,Martina Döcker,,1961
nm0246931,Ekrem Dümer,,1928-10-15
nm0246948,Roland Düringer,200,1963-10-31
nm0246997,Giri E.V.V.,,
nm0247318,Freddie Earlle,,1924-05-24
nm0247460,Brian Easdale,,1909-08-10
nm0247484,B. Reeves Eason,200,1886-10-02
nm0247513,Carlos East,200,1942-09-22
nm0247579,Leslie Easterbrook,200,1949-07-29
nm0247621,Allan Eastman,,1950
nm0247631,Charles Eastman,,1929-09-18
nm0247672,Rodney Eastman,200,1967-07-20
nm0247691,Robert Easton,200,1930-11-23
nm0247754,Francesca Eastwood,200,1993-08-07
nm0247824,Halle Eaton,,
nm0247828,James Eaton,,
nm0247881,Shirley Eaton,200,1937-01-12
nm0248291,Maude Eburne,,1875-11-10
nm0248815,Anita Strindberg,,1938-05-29
nm0248890,Helen Jerome Eddy,200,1897-02-25
nm0248904,Nelson Eddy,200,1901-06-29
nm0249020,Samuli Edelmann,200,1968-07-21
nm0249103,Mark Eden,200,1928-02-14
nm0249319,Gigi Edgley,200,1977-11-16
nm0249805,Ann Edwards,,1927-08-20
nm0249893,Cliff Edwards,200,1895-06-14
nm0250368,Stacy Edwards,,1965-03-04
nm0250445,Walter Edwards,,
nm0250532,Bobby Eerhart,,1947-09-22
nm0250614,David Efron,200,
nm0250616,Marshall Efron,,1938-02-03
nm0250620,Anatoli Efros,,1925-06-03
nm0250652,Beresford Egan,,1905-07-09
nm0250774,Julie Ege,200,1943-11-12
nm0250958,Maren Eggert,200,1974-01-30
nm0250986,Colin Eggleston,,1941-09-23
nm0251021,José Ángel Egido,200,1951
nm0251027,Ertem Egilmez,,1929-02-18
nm0251139,Yôsuke Eguchi,200,1967-12-31
nm0251478,Jodi Eichelberger,,1970-12-28
nm0251517,Christoph Eichhorn,200,1957-09-08
nm0251655,Eindride Eidsvold,,1961-07-18
nm0251680,Gabby Eigenmann,,1978-03-02
nm0251812,Simon Eine,,
nm0251896,Fernando Eiras,,1957-02-21
nm0251901,Sten Eirik,,1952-03-23
nm0251986,Jesse Eisenberg,200,1983-10-05
nm0252006,Susan Eisenberg,200,1964-08-21
nm0252193,Martina Eitner-Acheampong,200,1960-06-01
nm0252230,Chiwetel Ejiofor,200,1977-07-10
nm0252426,Jakob Eklund,200,1962-02-21
nm0252455,Christian Eklöw,,
nm0252472,Gösta Ekman,,1890-12-28
nm0252640,Ahmad El-Fishawi,,
nm0252677,Darina Al Joundi,,
nm0252714,Micky El Mazroui,,
nm0252753,Khaled El-Sawi,,1963-11-25
nm0252765,Kamal El Tawil,,
nm0252775,Judith El Zein,,1976-11-01
nm0252857,Zahrat El-Ula,,
nm0252860,Ahmad El-Sabawi,,
nm0252979,Vincent Elbaz,,1971-02-03
nm0253018,Pascal Elbé,200,1967-03-13
nm0253035,Ron Eldard,200,1965-02-20
nm0253141,John Eldredge,200,1904-08-30
nm0253216,Karra Elejalde,,1960-10-10
nm0253364,Avril Elgar,200,1932-04-01
nm0253391,Tülin Elgin,,1941-03-07
nm0253528,Dorothy Elias-Fahn,,1962-03-13
nm0253547,Garth Eliassen,,
nm0254285,Michael Elliot,,
nm0254363,Alison Elliott,,1959
nm0254402,Chris Elliott,200,1960-05-31
nm0254628,Shawn Elliott,,1937
nm0254660,Tony Elliott,,
nm0254712,Aunjanue Ellis,200,1969-02-21
nm0254760,Chris Ellis,,1956-04-14
nm0254862,Greg Ellis,200,1968-03-21
nm0254879,Jack Ellis,200,1955
nm0255133,Trey Ellis,,1962
nm0255177,Christopher Ellison,,1946-12-16
nm0255208,Joseph Ellison,,
nm0255475,Eric Elmosnino,200,1964-05-02
nm0255710,Richard Elson,200,1979-02-10
nm0255979,Carme Elias,,1951-01-14
nm0256121,Ethan Embry,200,1978-06-13
nm0256545,Cliff Emmich,,1936-12-13
nm0256628,Akira Emoto,200,1948-11-03
nm0256818,Robert Enders,,1919-03-29
nm0256831,Cy Endfield,,1914-11-10
nm0256960,Harry Enfield,200,1961-05-30
nm0257084,Harry Engel,,1935-04-07
nm0257140,Roy Engel,,1913-09-13
nm0257151,Tina Engel,200,1950-04-06
nm0257211,Christina Engelhardt,,1959-12-04
nm0257396,Esin Engin,,1945-05-17
nm0257398,Lütfü Engin,,1923
nm0257457,Randall England,200,
nm0257563,Jan Englert,200,1943-05-11
nm0257784,Emma Engström,,1985-02-28
nm0257869,Neil Ennever,,
nm0257922,Deana Demko,200,1968-10-14
nm0257969,Mireille Enos,200,1975-09-22
nm0258268,Richard Epcar,200,1955-04-29
nm0258360,Brenda Epperson,,1965-09-09
nm0258402,Mike Epps,200,1970-11-18
nm0258632,Stephanie Erb,,1963-09-10
nm0258757,Richard Erdman,200,1925-06-01
nm0258905,Halil Ergün,,1946-09-08
nm0258918,Heinz Erhardt,,1909-02-20
nm0259144,Eric Ericson,,1974-11-21
nm0259152,John Ericson,200,1926-09-25
nm0259671,Bengt Ernryd,,
nm0259724,Ole Ernst,200,1940-05-16
nm0259762,Tommi Eronen,,1968-09-18
nm0259824,Solveig Ersgaard,,1915-11-29
nm0259973,Julius Erving,200,1950-02-22
nm0260058,Leo Esakia,,1890-02-27
nm0260124,Mara Escalante,,1968-01-04
nm0260300,Daniela Escobar,200,1969-01-16
nm0260434,Emmanuelle Escourrou,,
nm0260549,Janine Eser,,
nm0260871,Dwain Esper,,1893-10-07
nm0261056,Fernando Espinoza,,
nm0261133,Anthony Esposito,,
nm0261143,Bruno Esposito,,
nm0261230,Cacho Espíndola,,1940
nm0261435,Susie Essman,200,1955-05-31
nm0261695,María Esteve,200,1974-12-30
nm0261701,Adriana Esteves,200,1969-12-15
nm0261807,Gary Estrada,,
nm0261957,Inés Estévez,,1964-11-06
nm0262026,Eric Etebari,200,1969-12-05
nm0262132,Carit Etlar,,
nm0262374,Wesley Eure,200,1951-08-17
