id,name,height,date_of_birth
nm0002998,Kenneth Hughes,,
nm0000200,Bill Paxton,183,1955-05-17
nm0003400,Joram Lürsen,,1963-08-11
nm0000201,Michelle Pfeiffer,171,1958-04-29
nm0003482,Nash Edgerton,183,1973-01-19
nm0000202,Ryan Phillippe,173,1974-09-10
nm0003506,James Mangold,183,1963-12-16
nm0000204,Natalie Portman,160,1981-06-09
nm0003761,Edward T. McDougal,,
nm0000206,Keanu Reeves,186,1964-09-02
nm0003832,Ingrid Schoelderle,172,1952-05-28
nm0000208,Molly Ringwald,173,1968-02-18
nm0003836,Michael Powell,188,1905-09-30
nm0000210,Julia Roberts,175,1967-10-28
nm0003922,Michael Goi,178,1959-03-04
nm0000211,Mimi Rogers,173,1956-01-27
nm0004217,André Øvredal,,
nm0000213,Winona Ryder,161,1971-10-29
nm0004335,Hrithik Roshan,175,1974-01-10
nm0000214,Mia Sara,163,1967-06-19
nm0004694,Christina Aguilera,157,1980-12-18
nm0000218,Kristin Scott Thomas,168,1960-05-24
nm0004715,Will Arnett,189,1970-05-04
nm0000219,Steven Seagal,193,1952-04-10
nm0004716,Darren Aronofsky,183,1969-02-12
nm0000220,Joan Severance,175,1958-12-23
nm0004729,Michael Beach,170,1963-10-30
nm0000221,Charlie Sheen,178,1965-09-03
nm0004737,Shari Belafonte,165,1954-09-22
nm0000222,Brooke Shields,183,1965-05-31
nm0004886,Bill Duke,194,1943-02-26
nm0000223,Elisabeth Shue,157,1963-10-06
nm0004921,Joely Fisher,170,1967-10-29
nm0000224,Alicia Silverstone,165,1976-10-04
nm0004936,Ben Foster,175,1980-10-29
nm0000225,Christian Slater,174,1969-08-18
nm0005020,Josh Hopkins,188,1970-09-12
nm0000226,Will Smith,188,1968-09-25
nm0005102,Lindsay Hartley,160,1978-04-17
nm0000227,Mira Sorvino,178,1967-09-28
nm0005299,Sarah Paulson,168,1974-12-17
nm0000230,Sylvester Stallone,177,1946-07-06
nm0005351,Ryan Reynolds,188,1976-10-23
nm0005377,Sam Rockwell,173,1968-11-05
nm0000235,Uma Thurman,180,1970-04-29
nm0005380,Ray Romano,187,1957-12-21
nm0000237,John Travolta,188,1954-02-18
nm0005404,Rusty Schwimmer,165,1962-08-25
nm0000240,Skeet Ulrich,183,1970-01-20
nm0005458,Jason Statham,178,1967-07-26
nm0000241,Jean-Claude Van Damme,177,1960-10-18
nm0005491,Maura Tierney,160,1965-02-03
nm0000242,Mark Wahlberg,173,1971-06-05
nm0005513,Alanna Ubach,160,1975-10-03
nm0005552,Kym Whitley,,1961-06-07
nm0000246,Bruce Willis,183,1955-03-19
nm0005616,Aaron Woodley,,1971
nm0000250,Renée Zellweger,160,1969-04-25
nm0005628,Oliver Schmitz,,1960
nm0000254,Isabelle Adjani,163,1955-06-27
nm0006369,Ashok Kumar,,1911-10-13
nm0000255,Ben Affleck,192,1972-08-15
nm0006560,Sarah Levy,,
nm0000264,Pedro Almodóvar,177,1949-09-25
nm0006845,Sally Potter,,1949-09-19
nm0000266,Ursula Andress,168,1936-03-19
nm0006846,Ric Roman Waugh,,1968-02-20
nm0000272,Fanny Ardant,174,1949-03-22
nm0007102,Tabu,169,1970-11-04
nm0000274,David Arquette,178,1971-09-08
nm0007107,Urmila Matondkar,156,1974-02-04
nm0000275,Rosanna Arquette,164,1959-08-10
nm0007154,Stephen Marcus,193,1962-06-18
nm0000276,Sean Astin,170,1971-02-25
nm0007193,Richie Keen,,
nm0000277,Richard Attenborough,170,1923-08-29
nm0007622,Sou Abadi,,1968-06-18
nm0000278,Pernilla August,173,1958-02-13
nm0007814,Hiam Abbass,,1960-11-30
nm0000281,Scott Baio,178,1960-09-22
nm0008084,Carol Abboud,,
nm0000285,Alec Baldwin,180,1958-04-03
nm0008193,Nadia Abdelouafi,,1978-03-21
nm0000286,Stephen Baldwin,178,1966-05-12
nm0008243,Rustem Abdrashev,,
nm0008332,Aktan Arym Kubat,,1957
nm0009252,Roy Abramsohn,,
nm0000293,Sean Bean,179,1959-04-17
nm0009496,Clarisse Abujamra,,1947-04-03
nm0000297,Tom Berenger,180,1949-05-31
nm0009730,Toneey Acevedo,,
nm0000299,Michael Biehn,182,1956-07-31
nm0010207,Juana Acosta,,1976-11-28
nm0000300,Juliette Binoche,168,1964-03-09
nm0010611,Piotr Adamczyk,182,1972-03-21
nm0000301,Thora Birch,163,1982-03-11
nm0010653,Kasia Adamik,,1972-12-28
nm0000302,Jacqueline Bisset,169,1944-09-13
nm0011639,Lisa Addario,,1968-07-25
nm0000307,Helena Bonham Carter,157,1966-05-26
nm0011752,Maren Ade,,1976-12-12
nm0000309,David Bowie,178,1947-01-08
nm0011775,Ghadah Adel,,
nm0000313,Jeff Bridges,187,1949-12-04
nm0012078,Scott Adkins,178,1976-06-17
nm0000319,Yancy Butler,170,1970-07-02
nm0012081,Trace Adkins,198,1962-01-13
nm0000321,Gabriel Byrne,178,1950-05-12
nm0012707,Rodney Afif,,
nm0000322,Emmanuelle Béart,163,1963-08-14
nm0013138,Jim Agnew,,
nm0000323,Michael Caine,188,1933-03-14
nm0013841,Pegah Ahangarani,,
nm0000324,Barbara Carrera,173,1945-12-31
nm0014105,Rafik Ali Ahmad,,
nm0000328,Richard Chamberlain,185,1934-03-31
nm0014474,Umie Aida,,1973-01-18
nm0000329,Jackie Chan,174,1954-04-07
nm0014960,Alexandre Aja,,1978-08-07
nm0000331,Chevy Chase,192,1943-10-08
nm0015295,Zoya Akhtar,,1972-10-14
nm0000334,Yun-Fat Chow,186,1955-05-18
nm0015359,Fatih Akin,,1973-08-25
nm0000335,Glenn Close,165,1947-03-19
nm0016074,Albert Alarr,,
nm0000344,Denise Crosby,173,1957-11-24
nm0018121,Flávia Alessandra,167,1974-06-07
nm0000345,Billy Crystal,170,1948-03-14
nm0018554,Khandi Alexander,163,1957-09-04
nm0000352,Vincent D Onofrio,192,1959-06-30
nm0019247,Tomas Alfredson,178,1965-04-01
nm0020143,Landry Allbright,163,1989-08-01
nm0000354,Matt Damon,178,1970-10-08
nm0020329,Brittany Allen,174,1986-02-05
nm0000358,Daniel Day-Lewis,187,1957-04-29
nm0021823,Cleia Almeida,165,1982-11-24
nm0000360,Rebecca De Mornay,166,1959-08-29
nm0022198,Johnny Alonso,173,1970-11-22
nm0000362,Danny DeVito,147,1944-11-17
nm0022609,Hanna Alström,171,1981-03-05
nm0000363,Loren Dean,180,1969-07-31
nm0023361,Laura Alvea,,1976-12-20
nm0000365,Julie Delpy,173,1969-12-21
nm0025435,Simon Amstell,178,1979-11-29
nm0000366,Catherine Deneuve,168,1943-10-22
nm0025955,Adam Thomas Anderegg,,
nm0000367,Gérard Depardieu,180,1948-12-27
nm0026174,John Andreas Andersen,,
nm0029458,Hélène Angel,,1967-05-03
nm0029754,Angelyne,,1950-10-02
nm0000374,Brad Dourif,175,1950-03-18
nm0030791,Sathyan Anthikad,,
nm0000375,Robert Downey Jr.,174,1965-04-04
nm0031342,Predrag Antonijevic,,1959-02-07
nm0000377,Richard Dreyfuss,165,1947-10-29
nm0031483,Atle Antonsen,189,1969-08-11
nm0000378,Minnie Driver,178,1970-01-31
nm0031590,Jackson Antunes,,1953-08-28
nm0000379,Kirsten Dunst,170,1982-04-30
nm0032714,Sharif Arafah,,
nm0000382,Atom Egoyan,170,1960-07-19
nm0033240,Aleksandr Aravin,,1958-06-29
nm0033550,Enrique Arce,168,
nm0035018,Arjun Sarja,,1962-08-15
nm0000387,Robert Englund,179,1947-06-06
nm0035128,Swann Arlaud,,1981-11-30
nm0036237,Cameron Arnett,,1960-10-14
nm0036537,Lisa Arnold,168,
nm0000397,Corey Feldman,165,1971-07-16
nm0036553,Mark Arnold,183,1957-05-23
nm0000401,Laurence Fishburne,184,1961-07-30
nm0037575,Thomas Arslan,,1962-07-16
nm0037708,Miguel Arteta,,1965
nm0000407,Vivica A. Fox,170,1964-07-30
nm0038231,Daniel Aráoz,,
nm0000409,Brendan Fraser,190,1968-12-03
nm0038355,Tadanobu Asano,179,1973-11-27
nm0000416,Terry Gilliam,175,1940-11-22
nm0038690,Lorraine Ashbourne,,1961-01-07
nm0000417,Crispin Glover,178,1964-04-20
nm0039327,Mark Ashworth,178,
nm0000418,Danny Glover,192,1946-07-22
nm0040010,Adam Astill,183,
nm0000420,Valeria Golino,170,1965-10-22
nm0040038,Barry Atsma,,1972-12-29
nm0000421,Cuba Gooding Jr.,178,1968-01-02
nm0040630,Mark Atkins,,
nm0000422,John Goodman,188,1952-06-20
nm0040939,Yvan Attal,169,1965-01-04
nm0000424,Hugh Grant,180,1960-09-09
nm0041315,Robin Aubert,,
nm0000427,Pam Grier,173,1949-05-26
nm0041528,Erik Aude,185,1980-04-05
nm0042768,Alexandre Avancini,,
nm0000436,Curtis Hanson,185,1945-03-24
nm0045489,Þorsteinn Bachmann,,1965-10-25
nm0000437,Woody Harrelson,177,1961-07-23
nm0046256,Livio Badurina,,1965-12-20
nm0000438,Ed Harris,175,1950-11-28
nm0047419,Miranda Bailey,200,1977-01-30
nm0000439,Neil Patrick Harris,183,1973-06-15
nm0048083,Anna Banshchikova,200,1975-01-24
nm0000442,Rutger Hauer,187,1944-01-23
nm0048159,Ariyon Bakare,200,1971
nm0000444,Glenne Headly,173,1955-03-13
nm0048192,Edward Baker-Duly,200,1977
